seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr6,6863389,6865176,1788,*,8.62,8.84,8.36,0.48,0.000738,0.0145
chr9,31029549,31031437,1889,*,9.97,10.12,9.79,0.33,0.000739,0.0145
chr17,3325966,3327778,1813,*,8.1,8.37,7.78,0.59,0.000739,0.0145
chr6,136939550,136942062,2513,*,9.66,9.82,9.48,0.34,0.00074,0.0145
chr19,7217080,7218272,1193,*,9.01,9.21,8.79,0.42,0.000741,0.0145
chr16,63863377,63864840,1464,*,7.95,8.22,7.61,0.62,0.000741,0.0145
chr14,99933209,99933961,753,*,7.51,7.84,7.07,0.76,0.000742,0.0146
chr2,152396093,152399220,3128,*,10.44,10.58,10.29,0.29,0.000744,0.0146
chr17,70989920,70991519,1600,*,9.18,9.38,8.96,0.42,0.000744,0.0146
chr17,56819306,56820320,1015,*,8.78,8.99,8.53,0.45,0.000746,0.0146
chr2,142902547,142903709,1163,*,9.01,9.21,8.77,0.44,0.000748,0.0146
chr10,28593337,28594591,1255,*,8.7,8.92,8.43,0.49,0.000748,0.0146
chr7,64391571,64393354,1784,*,9.79,9.95,9.61,0.34,0.00075,0.0146
chr4,95849384,95850913,1530,*,8.57,8.82,8.28,0.54,0.000753,0.0147
chr12,102743021,102744398,1378,*,9.31,9.5,9.1,0.39,0.000754,0.0147
chr5,93266822,93268944,2123,*,10.2,10.34,10.05,0.29,0.000754,0.0147
chr15,91672703,91673713,1011,*,8.87,9.07,8.63,0.44,0.000756,0.0147
chr1,139421481,139423298,1818,*,9.66,9.83,9.48,0.35,0.000757,0.0147
chr8,14089707,14090917,1211,*,9.23,9.41,9.02,0.39,0.000759,0.0148
chr13,29983507,29987003,3497,*,10.96,11.08,10.83,0.26,0.000759,0.0148
chr13,21715559,21717020,1462,*,9.24,9.42,9.03,0.4,0.000764,0.0148
chr8,46470405,46472311,1907,*,9.91,10.06,9.74,0.32,0.000766,0.0148
chr5,50057663,50059693,2031,*,9.75,9.92,9.56,0.36,0.000766,0.0148
chr4,4792016,4793705,1690,*,9.55,9.73,9.36,0.37,0.00077,0.0149
chr1,184731645,184733549,1905,*,9.53,9.7,9.33,0.37,0.00077,0.0149
chr1,64735932,64739052,3121,*,10.34,10.48,10.19,0.29,0.000771,0.0149
chr5,98185117,98186618,1502,*,9.08,9.27,8.86,0.41,0.000773,0.0149
chr9,15709008,15710683,1676,*,9.36,9.55,9.16,0.39,0.000773,0.0149
chr19,7557149,7558954,1806,*,8.61,8.83,8.34,0.49,0.000773,0.0149
chr7,46919080,46920420,1341,*,9.27,9.45,9.06,0.39,0.000775,0.0149
chr8,90965177,90966324,1148,*,7.27,7.63,6.79,0.84,0.000775,0.0149
chr2,84714449,84716446,1998,*,10.16,10.31,10,0.31,0.000777,0.015
chr9,81863128,81864469,1342,*,9.38,9.56,9.17,0.39,0.000778,0.015
chr19,6909114,6910779,1666,*,9.45,9.63,9.24,0.39,0.000781,0.015
chr1,120075363,120075930,568,*,7.29,7.65,6.81,0.83,0.000781,0.015
chr8,61487364,61488419,1056,*,8.71,8.93,8.46,0.47,0.000781,0.015
chr14,34200602,34202088,1487,*,8.64,8.87,8.36,0.52,0.000782,0.015
chr18,81571821,81572651,831,*,7.57,7.92,7.11,0.81,0.000786,0.0151
chrX,153497489,153499093,1605,*,9.37,9.54,9.17,0.37,0.000788,0.0151
chr1,159231539,159233617,2079,*,9.42,9.59,9.22,0.37,0.000789,0.0151
chr17,63862964,63865089,2126,*,10.1,10.25,9.94,0.31,0.00079,0.0151
chr2,65237472,65239627,2156,*,10.07,10.23,9.89,0.34,0.00079,0.0151
chr15,57911789,57913204,1416,*,9.29,9.48,9.09,0.39,0.000791,0.0151
chr12,113151642,113152409,768,*,7.63,7.94,7.23,0.71,0.000795,0.0152
chr10,26695051,26695964,914,*,7.75,8.04,7.37,0.67,0.000796,0.0152
chr17,31841685,31842529,845,*,7.52,7.9,6.99,0.91,0.000797,0.0152
chr14,57825748,57827286,1539,*,9.05,9.24,8.82,0.42,0.000797,0.0152
chr8,57320911,57322727,1817,*,8.21,8.47,7.89,0.57,0.000797,0.0152
chr8,75108476,75110215,1740,*,9.39,9.56,9.19,0.37,0.000797,0.0152
chr2,3332008,3333543,1536,*,9.45,9.62,9.26,0.36,0.000799,0.0152
chrX,153237182,153238657,1476,*,8.23,8.51,7.89,0.62,8e-04,0.0152
chr15,5115839,5117506,1668,*,9.76,9.92,9.57,0.35,8e-04,0.0152
chr11,6474818,6476568,1751,*,9.9,10.04,9.73,0.32,0.000801,0.0152
chr11,75166763,75167670,908,*,7.38,7.72,6.93,0.8,0.000801,0.0152
chr2,151038035,151040037,2003,*,9.5,9.68,9.31,0.37,0.000801,0.0152
chr9,27023520,27024172,653,*,8.13,8.39,7.81,0.58,0.000802,0.0152
chr5,99977604,99979736,2133,*,9.91,10.06,9.74,0.32,0.000803,0.0152
chr16,67619613,67621470,1858,*,9.84,10,9.66,0.34,0.000805,0.0152
chr17,62880478,62883579,3102,*,9.54,9.71,9.35,0.36,0.000806,0.0152
chrX,72917906,72918921,1016,*,8.81,9.02,8.56,0.46,0.000807,0.0153
chr16,17560676,17562300,1625,*,9.26,9.45,9.03,0.41,0.000808,0.0153
chr11,90577163,90578043,881,*,8.26,8.51,7.96,0.55,0.000809,0.0153
chr1,185351930,185352609,680,*,7.42,7.76,6.99,0.77,0.000809,0.0153
chr3,105958689,105959996,1308,*,9.14,9.32,8.92,0.4,0.00081,0.0153
chr1,66987317,66988284,968,*,8.46,8.7,8.18,0.52,0.000811,0.0153
chr6,119918414,119919318,905,*,8.17,8.43,7.85,0.58,0.000812,0.0153
chr9,20459361,20460586,1226,*,8.49,8.72,8.22,0.5,0.000813,0.0153
chrX,96239123,96240258,1136,*,8.44,8.68,8.15,0.54,0.000813,0.0153
chr11,50223899,50226211,2313,*,9.33,9.51,9.13,0.38,0.000815,0.0153
chr17,56461561,56463097,1537,*,9.93,10.08,9.77,0.31,0.000817,0.0153
chr6,6577656,6579281,1626,*,9.26,9.45,9.06,0.39,0.000818,0.0154
chr1,90998248,91000407,2160,*,8.56,8.79,8.29,0.5,0.000821,0.0154
chr4,102944065,102945067,1003,*,7.57,7.91,7.12,0.79,0.000821,0.0154
chr3,19310065,19312112,2048,*,10.06,10.21,9.88,0.33,0.000821,0.0154
chr5,104507962,104509129,1168,*,8.87,9.08,8.63,0.45,0.000824,0.0154
chr2,11171753,11173407,1655,*,8.88,9.09,8.64,0.46,0.000825,0.0154
chr15,31529998,31532285,2288,*,10.05,10.19,9.89,0.31,0.000825,0.0154
chr2,135658331,135660157,1827,*,9.78,9.93,9.6,0.33,0.000825,0.0154
chr17,87344006,87345512,1507,*,9.02,9.22,8.8,0.42,0.000825,0.0154
chr14,48202094,48203012,919,*,7.74,8.05,7.32,0.73,0.000826,0.0154
chr10,5823314,5825247,1934,*,10.28,10.42,10.13,0.29,0.000827,0.0154
chr19,16780172,16781818,1647,*,9.32,9.5,9.12,0.38,0.000828,0.0154
chr11,49202580,49204661,2082,*,9.32,9.5,9.11,0.38,0.000833,0.0155
chr3,100684692,100686401,1710,*,9.61,9.79,9.42,0.36,0.000834,0.0155
chr13,83730581,83731490,910,*,8.35,8.59,8.06,0.53,0.000835,0.0155
chrX,159626255,159628489,2235,*,9.37,9.54,9.17,0.37,0.000835,0.0155
chr2,168588965,168590931,1967,*,9.34,9.52,9.13,0.39,0.000836,0.0155
chr3,154329122,154330485,1364,*,8.09,8.36,7.77,0.59,0.000837,0.0155
chrX,151343596,151345046,1451,*,9.24,9.42,9.03,0.4,0.00084,0.0156
chr3,54692068,54693490,1423,*,9.29,9.47,9.09,0.38,0.000841,0.0156
chr6,8258672,8260017,1346,*,9.66,9.82,9.48,0.34,0.000841,0.0156
chr12,102670936,102672488,1553,*,8.44,8.67,8.16,0.51,0.000842,0.0156
chr11,5949350,5950315,966,*,8.22,8.48,7.9,0.58,0.000844,0.0156
chr3,133543877,133545511,1635,*,9.87,10.02,9.69,0.33,0.000845,0.0156
chr12,113221921,113223026,1106,*,8.7,8.93,8.42,0.51,0.000846,0.0156
chr2,22773477,22775569,2093,*,9.65,9.81,9.47,0.34,0.000847,0.0156
chr8,40307331,40309059,1729,*,9.5,9.67,9.3,0.38,0.000849,0.0157
chr10,99168557,99170246,1690,*,8.72,8.94,8.46,0.48,0.000851,0.0157
chr8,77516783,77518749,1967,*,9.47,9.64,9.28,0.36,0.000851,0.0157
chr1,144002618,144003119,502,*,7.5,7.82,7.08,0.74,0.000853,0.0157
chr18,79256368,79258290,1923,*,9.22,9.4,9.01,0.39,0.000854,0.0157
chr12,112950014,112951152,1139,*,8.2,8.45,7.9,0.56,0.000854,0.0157
chr13,51644523,51646111,1589,*,9.53,9.69,9.34,0.35,0.000855,0.0157
chr5,45449260,45450923,1664,*,9.91,10.06,9.73,0.33,0.000857,0.0157
chr19,47910244,47911168,925,*,7.83,8.12,7.47,0.65,0.000857,0.0157
chr16,55894590,55896071,1482,*,9.49,9.67,9.29,0.37,0.000857,0.0157
chr4,33247417,33249099,1683,*,10.48,10.61,10.33,0.29,0.000858,0.0157
chr7,58397865,58400094,2230,*,9.53,9.69,9.34,0.35,0.000862,0.0158
chr13,17836631,17838092,1462,*,7.34,7.7,6.87,0.83,0.000864,0.0158
chr19,53303236,53304195,960,*,7.68,7.99,7.29,0.71,0.000865,0.0158
chr1,34010883,34012277,1395,*,8.83,9.04,8.59,0.44,0.000865,0.0158
chr16,17232905,17234987,2083,*,9.23,9.41,9.03,0.38,0.000867,0.0158
chr5,147399923,147401017,1095,*,8.71,8.93,8.44,0.49,0.000869,0.0159
chr11,72206338,72207866,1529,*,8.45,8.69,8.16,0.52,0.00087,0.0159
chr10,75145464,75146862,1399,*,8.53,8.77,8.24,0.53,0.000873,0.0159
chr19,41344535,41345851,1317,*,8.88,9.09,8.64,0.45,0.000873,0.0159
chr11,45954927,45955726,800,*,8.68,8.89,8.43,0.46,0.000873,0.0159
chr4,155221528,155224106,2579,*,10.16,10.3,10,0.3,0.000875,0.0159
chr1,189792264,189793273,1010,*,7.74,8.05,7.35,0.7,0.000877,0.0159
chr4,148139554,148141127,1574,*,9.49,9.66,9.31,0.35,0.000877,0.0159
chr15,55905098,55907292,2195,*,9,9.2,8.77,0.43,0.000879,0.0159
chr18,7626009,7627318,1310,*,9.75,9.91,9.56,0.34,0.000879,0.0159
chr17,13658950,13660394,1445,*,8.92,9.12,8.68,0.43,0.00088,0.0159
chr7,6171119,6173121,2003,*,10.05,10.2,9.89,0.31,0.00088,0.0159
chr17,65782376,65784163,1788,*,9.81,9.97,9.63,0.34,0.00088,0.0159
chr10,120977744,120980166,2423,*,10.02,10.17,9.85,0.32,0.000881,0.0159
chr2,113847788,113849507,1720,*,9.36,9.53,9.17,0.37,0.000881,0.0159
chr18,46311232,46312582,1351,*,9.11,9.3,8.89,0.41,0.000882,0.0159
chr2,153607857,153608645,789,*,8.6,8.82,8.34,0.48,0.000882,0.0159
chr2,172437280,172437868,589,*,7.38,7.72,6.95,0.77,0.000883,0.0159
chr19,8798149,8799127,979,*,8.51,8.74,8.23,0.5,0.000883,0.0159
chr10,81604937,81606669,1733,*,9.37,9.55,9.17,0.37,0.000884,0.0159
chr16,18620627,18622284,1658,*,8.44,8.68,8.15,0.52,0.000885,0.0159
chr11,3202076,3203493,1418,*,9.55,9.72,9.37,0.35,0.000885,0.0159
chr14,31323665,31324681,1017,*,7.97,8.24,7.62,0.62,0.000885,0.0159
chr8,34805788,34809362,3575,*,10.46,10.6,10.31,0.29,0.000885,0.0159
chr2,144009701,144011782,2082,*,10.32,10.46,10.16,0.3,0.000886,0.0159
chr5,110107107,110108624,1518,*,9.81,9.97,9.64,0.33,0.000886,0.0159
chr6,108566502,108567037,536,*,7.35,7.69,6.9,0.79,0.000886,0.0159
chr2,140169773,140171458,1686,*,9.03,9.23,8.81,0.42,0.000886,0.0159
chr3,68676510,68677583,1074,*,8.79,9,8.53,0.47,0.000887,0.0159
chr17,84125981,84127515,1535,*,8.34,8.58,8.05,0.54,0.000887,0.0159
chr11,73018466,73019849,1384,*,9.19,9.38,8.97,0.41,0.000889,0.0159
chr16,15636735,15638288,1554,*,9.64,9.8,9.46,0.34,0.00089,0.0159
chr1,74330833,74332847,2015,*,9.53,9.7,9.34,0.36,0.00089,0.0159
chr4,128727043,128728853,1811,*,9,9.19,8.77,0.42,0.000891,0.0159
chr18,12199290,12200611,1322,*,8.86,9.06,8.62,0.44,0.000892,0.0159
chr5,43232304,43235518,3215,*,11.02,11.15,10.88,0.26,0.000893,0.0159
chrX,104413005,104414259,1255,*,8.2,8.46,7.9,0.56,0.000895,0.0159
chr10,80677856,80678955,1100,*,9.51,9.67,9.32,0.35,0.000895,0.0159
chr1,120264591,120266014,1424,*,9.29,9.48,9.09,0.39,0.000896,0.016
chr6,122339017,122340732,1716,*,9.76,9.91,9.58,0.33,0.000897,0.016
chr13,74259458,74260910,1453,*,8.94,9.14,8.71,0.44,0.000898,0.016
chr7,101301289,101302643,1355,*,9.21,9.4,8.99,0.41,0.000898,0.016
chr5,99251503,99253433,1931,*,9.8,9.97,9.61,0.36,0.000901,0.016
chr14,8172540,8174052,1513,*,9.77,9.92,9.59,0.33,0.000902,0.016
chr7,64872076,64873500,1425,*,9.18,9.38,8.96,0.41,0.000903,0.016
chr14,45656801,45658802,2002,*,10.11,10.25,9.95,0.3,0.000904,0.016
chr4,125117809,125118511,703,*,8.18,8.43,7.87,0.57,0.000906,0.016
chr5,8421928,8423973,2046,*,9.83,9.99,9.65,0.33,0.000908,0.0161
chr7,48908340,48909553,1214,*,8.79,9.01,8.52,0.49,0.00091,0.0161
chr5,129583470,129585289,1820,*,9.15,9.34,8.94,0.4,0.000911,0.0161
chr7,16272588,16274376,1789,*,9.97,10.12,9.81,0.31,0.000911,0.0161
chr4,102978497,102979772,1276,*,7.61,7.92,7.2,0.73,0.000913,0.0161
chr8,117342772,117343981,1210,*,8.05,8.32,7.71,0.61,0.000916,0.0161
chr10,83215123,83216090,968,*,8.12,8.38,7.8,0.57,0.000916,0.0161
chr10,67095972,67097971,2000,*,9.81,9.96,9.64,0.33,0.000917,0.0161
chr9,35210347,35212064,1718,*,9.8,9.96,9.63,0.33,0.000917,0.0161
chr13,3537444,3539230,1787,*,9.9,10.05,9.72,0.33,0.000918,0.0162
chr18,24204970,24206767,1798,*,9.94,10.09,9.77,0.32,0.00092,0.0162
chr5,27790510,27792241,1732,*,9.58,9.74,9.39,0.35,0.000922,0.0162
chr1,21078273,21080016,1744,*,9.49,9.65,9.3,0.35,0.000923,0.0162
chr13,5591763,5593379,1617,*,9.54,9.71,9.34,0.36,0.000925,0.0162
chr16,21332566,21333924,1359,*,8.44,8.67,8.17,0.51,0.000926,0.0162
chr5,3595691,3596934,1244,*,9.39,9.57,9.19,0.38,0.000927,0.0162
chr2,38535798,38536842,1045,*,8.78,8.99,8.53,0.46,0.000927,0.0162
chr12,105453550,105454793,1244,*,7.75,8.05,7.37,0.68,0.000927,0.0162
chr7,96657189,96657926,738,*,7.66,7.96,7.28,0.68,0.000928,0.0162
chr3,33799394,33800750,1357,*,9.74,9.9,9.57,0.34,0.000928,0.0162
chr11,60175290,60177823,2534,*,9.73,9.9,9.54,0.35,0.000928,0.0162
chr9,31210771,31212997,2227,*,9.84,10,9.66,0.34,0.00093,0.0162
chr10,99106565,99108771,2207,*,9.94,10.09,9.78,0.31,0.000931,0.0162
chr4,16013236,16014532,1297,*,9.49,9.67,9.3,0.37,0.000931,0.0162
chr19,42128510,42130168,1659,*,9.64,9.81,9.45,0.36,0.000933,0.0163
chr13,67268529,67269930,1402,*,8.73,8.95,8.48,0.47,0.000933,0.0163
chr5,76868721,76869947,1227,*,7.88,8.18,7.5,0.68,0.000935,0.0163
chr14,19823205,19824416,1212,*,9.12,9.31,8.9,0.4,0.000937,0.0163
chr3,155092806,155094056,1251,*,9.29,9.46,9.08,0.38,0.000937,0.0163
chr9,13297699,13298655,957,*,8.88,9.08,8.65,0.43,0.000938,0.0163
chr2,48813249,48815610,2362,*,9.99,10.15,9.83,0.32,0.000938,0.0163
chr11,57800970,57802847,1878,*,9.28,9.47,9.06,0.41,0.000939,0.0163
chr8,13104470,13106618,2149,*,10.16,10.31,10,0.31,0.000942,0.0163
chr8,110938652,110939901,1250,*,9.15,9.34,8.94,0.4,0.000944,0.0164
chr12,99836309,99837041,733,*,7.82,8.11,7.45,0.66,0.000946,0.0164
chr7,29210879,29212203,1325,*,8.8,9.01,8.55,0.45,0.000947,0.0164
chr17,17234147,17235474,1328,*,9.39,9.57,9.19,0.37,0.000947,0.0164
chr13,3917471,3918817,1347,*,9.13,9.31,8.92,0.4,0.000948,0.0164
chr5,65018830,65020389,1560,*,9.42,9.59,9.23,0.36,0.000951,0.0164
chr19,16372772,16373766,995,*,7.9,8.21,7.52,0.69,0.000952,0.0164
chr12,116485297,116486878,1582,*,8.33,8.6,8.01,0.59,0.000952,0.0164
chr11,64079044,64080183,1140,*,8.68,8.89,8.43,0.46,0.000953,0.0164
chr12,31917097,31917954,858,*,7.66,7.97,7.28,0.68,0.000954,0.0164
chr9,78475147,78476321,1175,*,7.73,8.05,7.31,0.74,0.000954,0.0164
chr15,39777101,39778828,1728,*,9.22,9.42,8.99,0.43,0.000959,0.0165
chr4,155143825,155144609,785,*,7.94,8.22,7.61,0.61,0.00096,0.0165
chr18,23954176,23955443,1268,*,9.14,9.33,8.93,0.39,0.000962,0.0165
chr8,11574796,11576245,1450,*,8.18,8.43,7.88,0.55,0.000962,0.0165
chr8,22184827,22186317,1491,*,8.89,9.1,8.66,0.44,0.000963,0.0165
chr5,25115286,25116561,1276,*,7.6,7.9,7.2,0.7,0.000964,0.0165
chr15,28189589,28190208,620,*,8.02,8.29,7.69,0.6,0.000964,0.0165
chr17,66075819,66077987,2169,*,9.84,10,9.67,0.33,0.000964,0.0165
chr16,55933492,55935142,1651,*,9.47,9.64,9.28,0.36,0.000966,0.0165
chr9,96195463,96197293,1831,*,9.55,9.71,9.36,0.35,0.000967,0.0165
chr17,94749240,94750757,1518,*,9.75,9.92,9.57,0.35,0.000967,0.0166
chr5,125055939,125056626,688,*,7.5,7.82,7.09,0.73,0.000968,0.0166
chr2,36216252,36217907,1656,*,9.09,9.27,8.87,0.4,0.00097,0.0166
chrX,155337679,155338979,1301,*,8.69,8.91,8.44,0.47,0.00097,0.0166
chr3,97157954,97159625,1672,*,9.01,9.2,8.79,0.41,0.000971,0.0166
chr19,60889035,60890804,1770,*,9.37,9.55,9.18,0.37,0.000973,0.0166
chr4,34550018,34552010,1993,*,9.94,10.09,9.77,0.32,0.000974,0.0166
chr14,118795559,118797092,1534,*,9.49,9.65,9.3,0.35,0.000974,0.0166
chr8,3515083,3517446,2364,*,9.75,9.91,9.58,0.33,0.000975,0.0166
chr10,31312720,31314133,1414,*,9.45,9.62,9.26,0.36,0.000976,0.0166
chr13,63239311,63241237,1927,*,9.21,9.39,9,0.39,0.000979,0.0166
chr12,80945106,80946575,1470,*,9.77,9.93,9.58,0.35,0.000979,0.0166
chr7,71411105,71412472,1368,*,8.18,8.44,7.87,0.57,0.00098,0.0166
chr5,100750468,100751343,876,*,8.11,8.37,7.8,0.57,0.000981,0.0166
chr14,45329167,45330368,1202,*,9.27,9.45,9.06,0.39,0.000982,0.0167
chr19,40830412,40832230,1819,*,9.25,9.43,9.05,0.38,0.000983,0.0167
chr9,90113323,90115219,1897,*,9.93,10.08,9.76,0.32,0.000983,0.0167
chr10,75316495,75317970,1476,*,8.86,9.06,8.62,0.44,0.000986,0.0167
chr1,92933651,92935264,1614,*,9.38,9.57,9.17,0.4,0.000987,0.0167
chr14,30694712,30696042,1331,*,8.02,8.28,7.69,0.59,0.000987,0.0167
chr5,24586083,24587566,1484,*,8.68,8.89,8.43,0.46,0.000989,0.0167
chr11,95833878,95835463,1586,*,9.33,9.52,9.12,0.4,0.00099,0.0167
chr2,150750130,150751005,876,*,8.16,8.42,7.86,0.56,0.00099,0.0167
chr10,8516819,8519494,2676,*,9.35,9.54,9.14,0.4,0.000991,0.0167
chr13,8885083,8886413,1331,*,9.55,9.73,9.36,0.37,0.000994,0.0168
chr11,11461267,11462837,1571,*,9.38,9.55,9.18,0.37,0.000994,0.0168
chr2,109280273,109281488,1216,*,9.56,9.72,9.37,0.35,0.000996,0.0168
chr7,25718503,25719589,1087,*,8.75,8.96,8.51,0.46,0.000996,0.0168
chrX,122396586,122398100,1515,*,9.61,9.77,9.42,0.34,0.000998,0.0168
chr13,17943310,17944743,1434,*,9.23,9.42,9.02,0.39,0.000999,0.0168
chr11,8663204,8664979,1776,*,9.08,9.27,8.87,0.4,0.001,0.0168
chr19,33222592,33223414,823,*,8.17,8.43,7.87,0.56,0.001,0.0169
chrX,99042138,99043602,1465,*,8.84,9.05,8.6,0.45,0.00101,0.0169
chr17,48533820,48534915,1096,*,7.59,7.91,7.18,0.73,0.00101,0.0169
chr16,35768683,35770744,2062,*,9.2,9.39,8.99,0.4,0.00101,0.0169
chr13,6889180,6890773,1594,*,8.49,8.71,8.22,0.49,0.00101,0.0169
chr17,29886372,29888866,2495,*,9.11,9.3,8.9,0.41,0.00101,0.0169
chr1,166378574,166380310,1737,*,9.73,9.89,9.56,0.33,0.00101,0.0169
chr6,11593303,11595187,1885,*,9.78,9.93,9.61,0.33,0.00101,0.0169
chr5,147860048,147861653,1606,*,9.25,9.43,9.04,0.38,0.00101,0.0169
chrX,8192213,8194011,1799,*,8.48,8.7,8.21,0.5,0.00101,0.0169
chr1,143701788,143703548,1761,*,9.77,9.92,9.59,0.33,0.00101,0.0169
chr13,60737599,60738857,1259,*,9.06,9.25,8.85,0.4,0.00102,0.017
chr8,23237119,23238170,1052,*,9.06,9.25,8.83,0.42,0.00102,0.017
chr10,82047658,82048800,1143,*,8.93,9.14,8.7,0.44,0.00102,0.017
chr16,3908260,3909768,1509,*,9.1,9.29,8.89,0.4,0.00102,0.017
chr1,69105590,69108852,3263,*,9.52,9.69,9.33,0.35,0.00102,0.017
chr11,62820021,62821441,1421,*,8.77,8.98,8.54,0.44,0.00103,0.0171
chr19,17359294,17359960,667,*,8.39,8.62,8.1,0.53,0.00103,0.0171
chr17,79347363,79348771,1409,*,8.55,8.78,8.26,0.52,0.00103,0.0171
chr15,52711862,52713397,1536,*,9.39,9.56,9.2,0.37,0.00103,0.0171
chr6,8208749,8210147,1399,*,9.62,9.78,9.43,0.36,0.00103,0.0171
chr17,75551095,75552519,1425,*,9.49,9.65,9.31,0.35,0.00103,0.0171
chr13,74638821,74640952,2132,*,9.47,9.63,9.28,0.35,0.00103,0.0171
chr18,50028043,50028801,759,*,9.03,9.22,8.81,0.41,0.00103,0.0171
chr8,4237798,4239581,1784,*,9.44,9.6,9.25,0.36,0.00104,0.0171
chr12,21111031,21113027,1997,*,9.59,9.76,9.4,0.36,0.00104,0.0172
chr1,95313139,95314956,1818,*,9.92,10.07,9.74,0.33,0.00104,0.0172
chr2,150666372,150668757,2386,*,9.69,9.87,9.49,0.38,0.00104,0.0172
chr7,44553113,44554487,1375,*,9.29,9.46,9.09,0.38,0.00104,0.0172
chr6,97929169,97930071,903,*,7.44,7.76,7.02,0.74,0.00104,0.0172
chr3,153943611,153945151,1541,*,9.75,9.91,9.56,0.35,0.00104,0.0172
chr7,66079173,66080442,1270,*,9.04,9.23,8.82,0.41,0.00105,0.0172
chr13,17803287,17805934,2648,*,10.78,10.93,10.63,0.3,0.00105,0.0172
chr19,38818456,38819745,1290,*,8.45,8.69,8.18,0.5,0.00105,0.0172
chr16,11526284,11527034,751,*,8.11,8.37,7.79,0.58,0.00105,0.0173
chr5,23597849,23598540,692,*,7.57,7.9,7.15,0.75,0.00105,0.0173
chr6,108782710,108783957,1248,*,9.11,9.29,8.89,0.4,0.00105,0.0173
chr1,143916086,143917513,1428,*,8.37,8.64,8.03,0.62,0.00105,0.0173
chr11,76178753,76180314,1562,*,7.85,8.13,7.5,0.63,0.00105,0.0173
chr17,22314304,22315681,1378,*,8.83,9.03,8.6,0.44,0.00106,0.0173
chr19,7493792,7495652,1861,*,9.54,9.71,9.35,0.36,0.00106,0.0173
chr14,30625009,30626791,1783,*,9.1,9.28,8.89,0.39,0.00106,0.0173
chr6,82772943,82775071,2129,*,9.64,9.81,9.46,0.35,0.00106,0.0173
chr18,6774424,6775324,901,*,7.9,8.19,7.52,0.67,0.00106,0.0173
chr17,22080694,22082140,1447,*,8.82,9.02,8.58,0.44,0.00106,0.0173
chr4,139689531,139690207,677,*,8.04,8.31,7.71,0.6,0.00106,0.0173
chr18,15062424,15065213,2790,*,9.67,9.82,9.5,0.33,0.00106,0.0173
chr4,49520464,49521752,1289,*,9.26,9.44,9.05,0.39,0.00106,0.0173
chr7,43442397,43444326,1930,*,9.63,9.8,9.42,0.38,0.00106,0.0173
chr6,106768693,106770023,1331,*,8.96,9.16,8.73,0.43,0.00106,0.0173
chr3,122983682,122985290,1609,*,9.83,9.98,9.66,0.32,0.00106,0.0173
chr18,67932653,67934475,1823,*,9.08,9.27,8.87,0.4,0.00106,0.0173
chr14,45218971,45220855,1885,*,10.01,10.17,9.84,0.33,0.00107,0.0173
chr8,54529112,54530614,1503,*,9.77,9.93,9.6,0.33,0.00107,0.0173
chr7,12834288,12835657,1370,*,9.1,9.29,8.88,0.41,0.00107,0.0174
chr5,3669581,3670872,1292,*,9.37,9.55,9.17,0.37,0.00107,0.0174
chr10,127040808,127042490,1683,*,8.76,8.97,8.52,0.45,0.00107,0.0174
chr13,21778806,21780717,1912,*,9.49,9.68,9.26,0.42,0.00107,0.0174
chr7,27355610,27357925,2316,*,9.86,10.01,9.7,0.31,0.00107,0.0174
chr10,89452692,89454053,1362,*,8.95,9.15,8.72,0.42,0.00107,0.0174
chr9,83440504,83441607,1104,*,8.95,9.15,8.72,0.43,0.00107,0.0174
chr10,117062914,117064326,1413,*,9.32,9.49,9.12,0.37,0.00107,0.0174
chr16,20701776,20702890,1115,*,7.84,8.15,7.45,0.7,0.00108,0.0174
chr5,23386456,23387605,1150,*,8.85,9.06,8.61,0.45,0.00108,0.0174
chr11,46454407,46455311,905,*,8.32,8.58,8.01,0.57,0.00108,0.0174
chr9,40324243,40324730,488,*,7.83,8.13,7.44,0.69,0.00108,0.0174
chr14,36952091,36953533,1443,*,8.37,8.6,8.09,0.51,0.00108,0.0174
chr7,48937461,48938662,1202,*,8.96,9.15,8.73,0.42,0.00108,0.0175
chr4,83416843,83418352,1510,*,9.01,9.2,8.79,0.41,0.00108,0.0175
chr1,89069518,89071293,1776,*,9.57,9.74,9.38,0.35,0.00109,0.0175
chr11,33512648,33514200,1553,*,9.37,9.55,9.17,0.37,0.00109,0.0175
chr4,99928797,99930749,1953,*,9.1,9.29,8.89,0.4,0.00109,0.0175
chr19,8880171,8881313,1143,*,8.34,8.58,8.05,0.53,0.00109,0.0175
chr19,8953078,8954351,1274,*,8.93,9.13,8.71,0.42,0.00109,0.0175
chr17,84844802,84845615,814,*,8.69,8.9,8.43,0.46,0.00109,0.0175
chr18,46524485,46526730,2246,*,10.34,10.47,10.2,0.27,0.00109,0.0175
chr15,54251198,54252060,863,*,8.77,8.98,8.53,0.45,0.00109,0.0175
chr13,89741856,89742820,965,*,7.91,8.19,7.57,0.61,0.0011,0.0176
chr3,40949114,40951652,2539,*,10.38,10.52,10.23,0.29,0.0011,0.0176
chr1,43097937,43099309,1373,*,9.44,9.6,9.24,0.36,0.0011,0.0177
chr17,23549821,23551137,1317,*,8.8,9.01,8.56,0.45,0.0011,0.0177
chr1,9544872,9546631,1760,*,9.56,9.73,9.37,0.36,0.00111,0.0177
